Event_Msg_Type Action_Type Event_Msg_Type_Description Action_Type_Description
2 67 MissedShot HookBankShot
3 10 FreeThrow FreeThrow1of1
3 11 FreeThrow FreeThrow1of2
3 12 FreeThrow FreeThrow2of2
3 13 FreeThrow FreeThrow1of3
3 15 FreeThrow FreeThrow3of3
3 16 FreeThrow FreeThrowTechnical
3 17 FreeThrow FreeThrowClearPath
4 1 Rebound NormalRebound
4 2 Rebound DeadBallRebound
5 0 Turnover NoTurnover
5 1 Turnover BadPass
5 2 Turnover LostBall
5 3 Turnover OutOfBounds
5 4 Turnover Traveling
5 5 Turnover Foul
5 6 Turnover DoubleDribble
5 7 Turnover DiscontinueDribble
5 8 Turnover 3SecondViolation
5 9 Turnover 5SecondViolation
5 10 Turnover 8SecondViolation
5 11 Turnover ShotClockTurnover
5 13 Turnover BackcourtTurnover
5 14 Turnover IllegalPick
5 15 Turnover OffensiveGoaltending
5 16 Turnover IsolationViolation
5 18 Turnover JumpBallViolation
5 19 Turnover KickedBallViolation
5 20 Turnover IllegalAssistTurnover
5 21 Turnover PalmingTurnover
5 22 Turnover PostUpTurnover
5 23 Turnover DoublePersonalTurnover
5 31 Turnover StolenPassTurnover
5 37 Turnover OffensiveFoulTurnover
5 39 Turnover StepOutofBoundsTurnover
5 41 Turnover PossLostBallTurnover
6 1 Foul Personal
6 2 Foul Shooting
6 5 Foul Inbound
6 6 Foul AwayFromPlay
6 7 Foul Elbow
6 8 Foul Punching
6 9 Foul ClearPath
6 10 Foul DoublePersonal
6 11 Foul Technical
6 12 Foul Non-UnsportsmanlikeTechnical
6 14 Foul FlagrantType1
6 15 Foul FlagrantType2
6 16 Foul DoubleTechnical
6 17 Foul Defense3Second
6 18 Foul DelayTechnical
6 19 Foul TauntingTechnical
7 1 Violation DelayOfGame
7 3 Violation Lane
7 4 Violation JumpBall
7 5 Violation KickedBall
7 99 Violation IllegalDefense
8 0 Substitution
8 3 Substitution
8 10 Substitution
8 12 Substitution
8 14 Substitution
9 0 Timeout NoTimeout
9 1 Timeout Regular
9 2 Timeout Short
9 3 Timeout OfficialTV
9 4 Timeout Official
10 0 JumpBall
11 1 Ejection SecondTechnical
11 3 Ejection FirstFlagrantType2
11 4 Ejection Other
12 0 StartPeriod
13 0 EndPeriod
4 0 Rebound Unknown
1 43 MadeShot AlleyOopLayupshot
1 53 MadeShot TipShot
2 1 MissedShot JumpShot
2 46 MissedShot RunningJumpShot
3 14 FreeThrow FreeThrow2of3
5 12 Turnover InboundTurnover
6 4 Foul Offensive
7 0 Violation NoViolation
3 0 NoShot
3 21 FreeThrow FreeThrowTechnical1of2
5 24 Turnover 10SecondViolaton
5 32 Turnover OppositeBasketTurnover
5 33 Turnover PunchedBallTurnover
5 34 Turnover SwingingElbowsTurnover
5 36 Turnover IllegalScreenTurnover
6 20 Foul PlayerControl
3 25 FreeThrow FreeThrowClearPath1of2
3 26 FreeThrow FreeThrowClearPath2of2
6 21 Foul IndirectTechnical
3 20 FreeThrow FreeThrowFlagrant1of1
3 19 FreeThrow FreeThrowFlagrant2of2
3 18 FreeThrow FreeThrowFlagrant1of2
3 22 FreeThrow FreeThrowTechnical2of2
5 35 Turnover BasketfromBelowTurnover
5 38 Turnover 5SecondInboundTurnover
1 71 MadeShot FingerRollLayupShot
1 76 MadeShot RunningFingerRollLayupShot
1 77 MadeShot DrivingJumpshot
1 72 MadeShot PutbackLayupShot
1 73 MadeShot DrivingReverseLayupShot
1 74 MadeShot RunningReverseLayupShot
1 75 MadeShot DrivingFingerRollLayupShot
1 79 MadeShot PullupJumpshot
1 80 MadeShot StepBackJumpshot
1 81 MadeShot PullupBankshot
1 82 MadeShot DrivingBankshot
1 83 MadeShot FadeawayBankshot
1 84 MadeShot RunningBankshot
1 85 MadeShot TurnaroundBankshot
1 86 MadeShot TurnaroundFadeawayshot
1 87 MadeShot PutbackDunkShot
1 88 MadeShot DrivingSlamDunkShot
1 89 MadeShot ReverseSlamDunkShot
1 90 MadeShot RunningSlamDunkShot
1 91 MadeShot PutbackReverseDunkShot
1 92 MadeShot PutbackSlamDunkShot
1 93 MadeShot DrivingBankHookShot
1 94 MadeShot JumpBankHookShot
1 95 MadeShot RunningBankHookShot
1 96 MadeShot TurnaroundBankHookShot
2 71 MissedShot FingerRollLayupShot
2 72 MissedShot PutbackLayupShot
2 77 MissedShot DrivingJumpshot
2 96 MissedShot TurnaroundBankHookShot
2 73 MissedShot DrivingReverseLayupShot
2 74 MissedShot RunningReverseLayupShot
2 76 MissedShot RunningFingerRollLayupShot
2 78 MissedShot FloatingJumpshot
2 79 MissedShot PullupJumpshot
2 80 MissedShot StepBackJumpshot
2 81 MissedShot PullupBankshot
2 82 MissedShot DrivingBankshot
2 83 MissedShot FadeawayBankshot
2 84 MissedShot RunningBankshot
2 85 MissedShot TurnaroundBankshot
2 87 MissedShot PutbackDunkShot
2 88 MissedShot DrivingSlamDunkShot
2 90 MissedShot RunningSlamDunkShot
2 91 MissedShot PutbackReverseDunkShot
2 92 MissedShot PutbackSlamDunkShot
2 93 MissedShot DrivingBankHookShot
2 94 MissedShot JumpBankHookShot
2 95 MissedShot RunningBankHookShot
7 6 Violation DoubleLane
5 42 Turnover ExcessTimeoutTurnover
6 25 Foul ExcessTimeoutTechnical
1 2 MadeShot RunningJumpShot
1 46 MadeShot RunningJumpShot
1 51 MadeShot ReverseDunkShot
1 61 MadeShot DrivingFingerRollShot
2 3 MissedShot HookShot
2 44 MissedShot ReverseLayupShot
2 58 MissedShot TurnaroundHookShot
5 17 Turnover LaneViolation
6 0 Foul NoFoul
6 3 Foul LooseBall
6 13 Foul HangingTechnical
7 2 Violation DefensiveGoaltending
11 0 Ejection NoEjection
11 2 Ejection SecondFlagrantType1
5 40 Turnover OutofBoundsLostBallTurnover
2 75 MissedShot DrivingFingerRollLayupShot
2 86 MissedShot TurnaroundFadeawayshot
2 89 MissedShot ReverseSlamDunkShot
5 43 Turnover PlayerOutofBoundsViolationTurnover
1 78 MadeShot FloatingJumpshot
6 26 Foul OffensiveCharge
6 27 Foul PersonalBlock
6 28 Foul PersonalTake
6 29 Foul ShootingBlock
9 5 Timeout Advance
5 44 Turnover TooManyPlayersTurnover
6 30 Foul TooManyPlayersTechnical
1 97 MadeShot TipLayupShot
1 98 MadeShot CuttingLayupShot
1 99 MadeShot CuttingFingerRollLayupShot
1 100 MadeShot RunningAlleyOopLayupShot
1 101 MadeShot DrivingFloatingJumpShot
1 102 MadeShot DrivingFloatingBankJumpShot
1 103 MadeShot RunningPull-UpJumpShot
1 104 MadeShot StepBackBankJumpShot
1 105 MadeShot TurnaroundFadeawayBankJumpShot
1 106 MadeShot RunningAlleyOopDunkShot
1 107 MadeShot TipDunkShot
1 108 MadeShot CuttingDunkShot
1 109 MadeShot DrivingReverseDunkShot
1 110 MadeShot RunningReverseDunkShot
2 97 MissedShot TipLayupShot
2 98 MissedShot CuttingLayupShot
2 99 MissedShot CuttingFingerRollLayupShot
2 100 MissedShot RunningAlleyOopLayupShot
2 101 MissedShot DrivingFloatingJumpShot
2 102 MissedShot DrivingFloatingBankJumpShot
2 103 MissedShot RunningPull-UpJumpShot
2 104 MissedShot StepBackBankJumpShot
2 105 MissedShot TurnaroundFadeawayBankJumpShot
2 106 MissedShot RunningAlleyOopDunkShot
2 107 MissedShot TipDunkShot
2 108 MissedShot CuttingDunkShot
2 109 MissedShot DrivingReverseDunkShot
2 110 MissedShot RunningReverseDunkShot
5 45 Turnover OutofBounds-BadPassTurnover
3 27 FreeThrow FreeThrowFlagrant1of3
3 28 FreeThrow FreeThrowFlagrant2of3
3 29 FreeThrow FreeThrowFlagrant3of3
9 6 Timeout Reset
